,Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
44,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Central Asia,Primary Energy|Oil,EJ/yr,1.211816,1.314737,1.513911,1.490443,1.536579,1.55852299999999,1.557429,1.493579,1.396751,1.239068,1.108551,0.980438199999999,0.8244324,0.800556199999999,0.7934114,0.7935175,0.7805914,0.7675401,0.765586,0.7026611
45,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|China,Primary Energy|Coal,EJ/yr,53.01266,75.4935699999999,86.5517199999999,95.76611,84.78494,69.9683199999999,54.67348,39.87229,28.0598299999999,22.21582,20.5132,17.6826799999999,13.415,12.77702,12.24894,11.54454,10.83307,10.2736399999999,9.967341,9.146252
46,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|China,Primary Energy|Gas,EJ/yr,1.524769,4.386881,6.58799999999999,8.173427,9.726038,10.83765,12.02469,13.0267,13.35347,12.36818,10.82306,8.974587,6.868073,6.92406799999999,6.800585,6.343639,5.996924,6.063777,6.071415,5.763811
47,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|China,Primary Energy|Oil,EJ/yr,15.89233,21.29968,25.55765,27.38583,30.55511,31.97302,32.5584099999999,31.61149,29.51935,26.7842299999999,23.28016,19.41795,15.49881,14.40227,13.4451399999999,12.42193,11.40967,10.64226,10.08241,9.235926
48,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Colombia,Primary Energy|Coal,EJ/yr,0.1164125,0.1282587,0.1773426,0.1841337,0.1874754,0.1736726,0.1499237,0.1372851,0.1434209,0.1605072,0.172239299999999,0.1499072,0.08850967,0.09246716,0.09935427,0.1059631,0.1123621,0.1182821,0.1215192,0.1155548
49,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Colombia,Primary Energy|Gas,EJ/yr,0.2562214,0.3299764,0.3529991,0.401532499999999,0.4388616,0.50585,0.5715566,0.6329373,0.646291,0.5671875,0.5431469,0.5456255,0.504342099999999,0.5605178,0.629750199999999,0.7025344,0.7603223,0.806157,0.8455103,0.8235093
50,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Colombia,Primary Energy|Oil,EJ/yr,0.5487794,0.6226642,0.6769604,0.6613929,0.668174199999999,0.6872535,0.7085066,0.6867754,0.629186999999999,0.546058,0.4676822,0.398498099999999,0.331104599999999,0.331362799999999,0.3465245,0.372016099999999,0.3876332,0.3984892,0.4118899,0.3931687
51,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|EU-12,Primary Energy|Coal,EJ/yr,4.71893099999999,4.61820999999999,4.103827,4.187345,3.48396299999999,2.69840499999999,1.651308,1.083784,0.6185994,0.4717954,0.5459231,0.5647791,0.440221,0.4432768,0.4605015,0.4645157,0.4738898,0.472939099999999,0.465859,0.409205599999999
52,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|EU-12,Primary Energy|Gas,EJ/yr,2.835855,2.531765,2.219486,2.64308499999999,2.695363,2.67384599999999,2.60294,2.595986,2.502816,2.220634,1.891499,1.498252,1.058367,1.06964,1.065741,1.035459,0.9954228,1.021994,1.049703,0.999539
53,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|EU-12,Primary Energy|Oil,EJ/yr,3.01618499999999,3.07169599999999,2.944493,2.975937,3.047721,2.911887,2.814115,2.601384,2.367588,1.997879,1.77702,1.533906,1.28985,1.24385599999999,1.21036299999999,1.185582,1.176658,1.148518,1.136912,1.099681
54,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|EU-15,Primary Energy|Coal,EJ/yr,9.42370399999999,7.95049299999999,7.60649799999999,6.913065,6.214471,4.65586,2.693282,1.725266,1.091986,0.9253115,0.8659778,0.7670009,0.658416,0.660716699999999,0.638829599999999,0.6015024,0.5634772,0.5285905,0.494635599999999,0.4569514
55,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|EU-15,Primary Energy|Gas,EJ/yr,16.08004,16.71884,13.24011,13.4540399999999,12.11413,11.2807,10.15572,9.337994,8.509047,7.286931,6.150361,5.012377,3.86807,4.044169,4.403233,4.80720299999999,5.138548,5.438082,5.657941,5.384015
56,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|EU-15,Primary Energy|Oil,EJ/yr,27.9269099999999,24.70601,22.59597,22.21057,21.2394,19.6138,18.41875,16.98004,15.49899,14.13207,12.52853,11.0165899999999,9.642208,9.442316,9.261796,9.381546,9.166247,8.94083399999999,8.99354799999999,8.675491
57,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Europe_Eastern,Primary Energy|Coal,EJ/yr,1.596167,1.677808,1.329113,1.288277,1.18184,0.9403876,0.6530673,0.488580199999999,0.399335099999999,0.343041,0.2821803,0.1997212,0.07532752,0.06758,0.06610725,0.0651514,0.06673839,0.07233242,0.07817627,0.06613272
